회차,구분,문항,배점,가중치,질문 대상,디테일(역사적 사태),정답여부,실제 대상
77회,기본,15,2,3,고려 화폐,상평통보,X,조선 후기 경제
77회,기본,15,2,3,고려 화폐,반량전,X,중국 화폐
77회,기본,15,2,3,고려 화폐,명도전,X,철기 시대
77회,기본,16,3,4.5,직지심체요절,청주 흥덕사에서 간행하였다.,O,직지심체요절
77회,기본,16,3,4.5,직지심체요절,김부식 등이 왕명을 받아 편찬하였다.,X,삼국사기
77회,기본,16,3,4.5,직지심체요절,몽골의 침입을 물리치고자 제작하였다.,X,팔만대장경
77회,기본,16,3,4.5,직지심체요절,단군의 고조선 건국 이야기가 수록되어 있다.,X,삼국유사
77회,기본,17,2,3,지눌,천태종을 창시하였다.,X,고려 의천
77회,기본,17,2,3,지눌,삼국유사를 저술하였다.,X,일연
77회,기본,17,2,3,지눌,왕오천축국전을 지었다.,X,혜초
77회,기본,17,2,3,지눌,수선사 결사를 제창하였다.,O,지눌
77회,기본,18,3,4.5,고려,경당을 설치하였다.,X,고구려
77회,기본,18,3,4.5,고려,골품제를 실시하였다.,X,신라
77회,기본,18,3,4.5,고려,연등회 팔관회를 개최하였다.,O,고려
77회,기본,18,3,4.5,고려,정사암에서 재상을 선출하였다.,X,백제
77회,기본,19,2,3,정도전,정도전,O,정도전
77회,기본,19,2,3,정도전,조광조,X,조광조
77회,기본,19,2,3,정도전,박제가,X,박제가
77회,기본,19,2,3,정도전,채제공,X,채제공
77회,기본,20,2,3,조선 세종,집현전이 설치되었다.,O,조선 세종
77회,기본,20,2,3,조선 세종,직전법이 실시되었다.,X,조선 세조
77회,기본,20,2,3,조선 세종,경국대전이 완성되었다.,X,조선 성종
77회,기본,20,2,3,조선 세종,백두산정계비가 건립되었다.,X,조선 숙종
77회,기본,21,1,1.5,성균관,종묘,X,종묘
77회,기본,21,1,1.5,성균관,성균관,O,성균관
77회,기본,21,1,1.5,성균관,사직단,X,사직단
77회,기본,21,1,1.5,성균관,소수 서원,X,소수 서원
77회,기본,22,2,3,승정원,승정원,O,승정원
77회,기본,22,2,3,승정원,춘추관,X,춘추관
77회,기본,22,2,3,승정원,의정부,X,의정부
77회,기본,22,2,3,승정원,한성부,X,한성부
77회,기본,23,2,3,대동법,군포를 2필에서 1필로 줄였다.,X,균역법
77회,기본,23,2,3,대동법,공인이 등장하는 배경이 되었다.,O,대동법
77회,기본,23,2,3,대동법,전세를 1결당 4~6두로 고정하였다.,X,영정법
77회,기본,23,2,3,대동법,토지 소유자에게 지계를 발급하였다.,X,광무개혁
77회,기본,24,2,3,임진왜란,박위가 쓰시마섬을 정벌하였다.,X,고려 우왕
77회,기본,24,2,3,임진왜란,인조가 남한산성으로 피란하였다.,X,병자호란
77회,기본,24,2,3,임진왜란,곽재우가 의령에서 의병을 일으켰다.,O,임진왜란
77회,기본,24,2,3,임진왜란,김윤후가 처인성 전투에서 승리하였다.,X,몽골 침입
77회,기본,25,1,1.5,조선 정조,탕평비를 건립하였다.,X,조선 영조
77회,기본,25,1,1.5,조선 정조,홍문관을 설치하였다.,X,조선 성종
77회,기본,25,1,1.5,조선 정조,대전회통을 편찬하였다.,X,흥선대원군
77회,기본,25,1,1.5,조선 정조,초계문신제를 실시하였다.,O,조선 정조
77회,기본,26,2,3,조선 후기,탈춤 공연을 벌이는 광대,O,조선 후기
77회,기본,26,2,3,조선 후기,초조대장경을 조판하는 장인,X,초조대장경
77회,기본,26,2,3,조선 후기,한글 소설을 읽어주는 전기수,O,조선 후기
77회,기본,26,2,3,조선 후기,판소리 춘향가를 부르는 소리꾼,O,조선 후기
77회,기본,27,3,4.5,조선 후기 경제,전시과는 어떻게 변화하였을까?,X,전시과
77회,기본,27,3,4.5,조선 후기 경제,동시전은 어떤 역할을 담당하였을까?,X,신라 지증왕
77회,기본,27,3,4.5,조선 후기 경제,벽란도는 국제 무역항으로 어떻게 성장하였을까?,X,고려의 경제
77회,기본,27,3,4.5,조선 후기 경제,담배 인삼 등의 상품 작물 재배가 미친 영향은 무엇일까?,O,조선 후기 경제
77회,기본,28,2,3,흥선대원군,주자감에서 공부하는 학생,X,발해
77회,기본,28,2,3,흥선대원군,삼별초에 소속되어 훈련받는 군인,X,삼별초 항쟁
77회,기본,28,2,3,흥선대원군,암태도 소작 쟁의에 참여하는 농민,X,암태도 소작쟁의
77회,기본,28,2,3,흥선대원군,척화비를 세우기 위해 돌을 다듬는 석공,O,흥선대원군
77회,기본,29,3,4.5,항일 의병,억울하게 시해당한 국모의 원수를 갚자.,O,을미의병
77회,기본,29,3,4.5,항일 의병,을사오적은 만대의 역적이니 마땅히 제거해야 한다!,O,을사의병
77회,기본,29,3,4.5,항일 의병,우리 13도 창의군은 서울까지 진격한다!,O,정미의병
77회,기본,30,2,3,갑오개혁,비변사를 혁파하였다.,X,흥선대원군
77회,기본,30,2,3,갑오개혁,공사 노비법을 폐지하였다.,O,갑오개혁
77회,기본,30,2,3,갑오개혁,대한국 국제를 반포하였다.,X,광무개혁
77회,기본,30,2,3,갑오개혁,5군영을 2영으로 통합하였다.,X,흥선대원군
77회,기본,31,3,4.5,대한제국 시기,경인선 기차 타고 인천 개항장 가기,O,대한제국 시기
77회,기본,31,3,4.5,대한제국 시기,조선어 학회의 한글 강습회 참여하기,X,조선어학회
77회,기본,31,3,4.5,대한제국 시기,경성 방송국에서 송출하는 라디오 방송 듣기,X,경성방송국
77회,기본,31,3,4.5,대한제국 시기,나운규 감독의 영화 아리랑 상영 극장 방문하기,X,영화 아리랑
77회,기본,32,2,3,국채 보상 운동,브나로드 운동,X,브나로드 운동
77회,기본,32,2,3,국채 보상 운동,국채 보상 운동,O,국채 보상 운동
77회,기본,32,2,3,국채 보상 운동,6·10 만세 운동,X,6·10 만세 운동
77회,기본,32,2,3,국채 보상 운동,민립 대학 설립 운동,X,민립 대학 설립 운동
77회,기본,33,1,1.5,독립문,광화문,X,광화문
77회,기본,33,1,1.5,독립문,독립문,O,독립문
77회,기본,33,1,1.5,독립문,대한문,X,대한문
77회,기본,33,1,1.5,독립문,숭례문,X,숭례문
77회,기본,34,3,4.5,흥사단,보안회,X,보안회
77회,기본,34,3,4.5,흥사단,흥사단,O,흥사단
77회,기본,34,3,4.5,흥사단,대한 광복회,X,대한광복회
77회,기본,34,3,4.5,흥사단,독립 의군부,X,독립의군부
77회,기본,35,1,1.5,안중근,안중근,O,안중근
77회,기본,35,1,1.5,안중근,윤봉길,X,윤봉길
77회,기본,35,1,1.5,안중근,이회영,X,이회영
77회,기본,35,1,1.5,안중근,최재형,X,최재형
77회,기본,36,2,3,3·1 운동,통감부의 탄압으로 실패하였다.,X,신민회
77회,기본,36,2,3,3·1 운동,순종의 인산일을 계기로 일어났다.,X,6·10 만세 운동
77회,기본,36,2,3,3·1 운동,제암리 학살 등 일제의 가혹한 탄압을 받았다.,O,3·1 운동
77회,기본,36,2,3,3·1 운동,신간회에서 진상 조사단을 파견하여 지원하였다.,X,광주학생항일운동
77회,기본,37,2,3,형평 운동,강화도 조약의 내용을 살펴본다.,X,강화도 조약
77회,기본,37,2,3,형평 운동,기기창이 설치된 시기를 검색한다.,X,기기창
77회,기본,37,2,3,형평 운동,조선 형평사의 창립 배경을 알아본다.,O,형평 운동
77회,기본,37,2,3,형평 운동,홍경래의 난이 전개된 과정을 조사한다.,X,홍경래의 난
77회,기본,38,2,3,일제강점기 사회상,소비 문화의 공간인 백화점이 등장했어요.,O,일제강점기 사회상
77회,기본,38,2,3,일제강점기 사회상,여성들은 작업복으로 몸뻬를 입도록 강요받았어요.,O,일제강점기 사회상
77회,기본,38,2,3,일제강점기 사회상,사교 문화의 공간인 끽다점이 생겼어요.,O,일제강점기 사회상
77회,기본,38,2,3,일제강점기 사회상,새마을 운동이 진행되면서 초가지붕이 슬레이트 지붕 등으로 바뀌었어요.,X,새마을 운동
77회,기본,39,2,3,민족말살통치기,별기군에서 훈련하는 군인,X,별기군
77회,기본,39,2,3,민족말살통치기,태형을 집행하는 헌병 경찰,X,1910년대 통치
77회,기본,39,2,3,민족말살통치기,육영 공원에서 영어를 가르치는 외국인 교사,X,육영공원
77회,기본,39,2,3,민족말살통치기,여자 정신 근로령을 관보에 게재하는 조선 총독부 관리,O,민족말살통치기
77회,기본,40,2,3,윤동주,이상화,X,이상화
77회,기본,40,2,3,윤동주,이육사,X,이육사
77회,기본,40,2,3,윤동주,윤동주,O,윤동주
77회,기본,40,2,3,윤동주,한용운,X,한용운
77회,기본,41,3,4.5,한인 애국단,(가) - 한인 애국단,O,한인 애국단
77회,기본,41,3,4.5,한인 애국단,(나) - 중광단,X,중광단
77회,기본,41,3,4.5,한인 애국단,(다) - 황국 중앙 총상회,X,황국 중앙 총상회
77회,기본,41,3,4.5,한인 애국단,(라) - 전환국,X,전환국
77회,기본,42,2,3,대한민국 임시정부,만민 공동회를 개최하였다.,X,독립협회
77회,기본,42,2,3,대한민국 임시정부,한국 광복군을 창설하였다.,O,대한민국 임시정부
77회,기본,42,2,3,대한민국 임시정부,105인 사건으로 와해되었다.,X,신민회
77회,기본,42,2,3,대한민국 임시정부,고종의 밀지를 받아 조직되었다.,X,독립의군부
77회,기본,44,2,3,6·25 전쟁,닉슨 독트린이 발표되었다.,X,닉슨 독트린
77회,기본,44,2,3,6·25 전쟁,브라운 각서가 체결되었다.,X,브라운 각서
77회,기본,44,2,3,6·25 전쟁,인천 상륙 작전이 전개되었다.,O,6·25 전쟁
77회,기본,44,2,3,6·25 전쟁,조선 건국 동맹이 결성되었다.,X,조선 건국 동맹
77회,기본,45,2,3,5·10 총선거,비례 대표제가 적용되었다.,X,비례 대표제
77회,기본,45,2,3,5·10 총선거,우리나라 최초의 보통 선거였다.,O,5·10 총선거
77회,기본,45,2,3,5·10 총선거,양원제 국회가 출범하는 결과를 가져왔다.,X,제2공화국 헌법
77회,기본,45,2,3,5·10 총선거,통일 주체 국민 회의 대의원을 선출하였다.,X,유신헌법
77회,기본,46,2,3,김영삼 정부,삼청 교육대가 운영되었다.,X,전두환 정부
77회,기본,46,2,3,김영삼 정부,경부 고속 도로가 준공되었다.,X,박정희 정부 경제
77회,기본,46,2,3,김영삼 정부,서울에서 올림픽 대회가 개최되었다.,X,노태우 정부
77회,기본,46,2,3,김영삼 정부,국민학교가 초등학교로 명칭이 바뀌었다.,O,김영삼 정부
77회,기본,47,2,3,1950년대 경제,경제 협력 개발 기구(OECD) 가입,X,김영삼 정부
77회,기본,47,2,3,1950년대 경제,미국과 자유 무역 협정(FTA) 체결,X,노무현 정부
77회,기본,47,2,3,1950년대 경제,원조 물자를 가공하는 삼백 산업 발달,O,1950년대 경제
77회,기본,47,2,3,1950년대 경제,반도체 자동차 등 기술 집약적 산업 성장,X,1980년대 경제
77회,기본,48,2,3,해양 인물,(가) - 명량에서 적의 함대를 격파하다,X,이순신
77회,기본,48,2,3,해양 인물,(나) - 우산국을 신라에 복속시키다,X,이사부
77회,기본,48,2,3,해양 인물,(다) - 진포에서 왜구를 크게 격퇴하다,O,최무선
77회,기본,48,2,3,해양 인물,(라) - 청해진을 중심으로 해상 무역을 전개하다,X,장보고
77회,기본,49,1,1.5,5·18 민주화 운동,4·19 혁명,X,4·19 혁명
77회,기본,49,1,1.5,5·18 민주화 운동,6월 민주 항쟁,X,6월 민주항쟁
77회,기본,49,1,1.5,5·18 민주화 운동,부마 민주 항쟁,X,부마민주항쟁
77회,기본,49,1,1.5,5·18 민주화 운동,5·18 민주화 운동,O,5·18 광주민주화운동
77회,기본,50,3,4.5,박정희 정부 통일,남북 조절 위원회를 구성하였다.,O,박정희 정부 통일
77회,기본,50,3,4.5,박정희 정부 통일,남북한이 유엔에 동시 가입하였다.,X,노태우 정부 통일
77회,기본,50,3,4.5,박정희 정부 통일,개성 공업 지구 건설에 합의하였다.,X,김대중 정부 통일
77회,기본,50,3,4.5,박정희 정부 통일,판문점에서 남북 정상 회담을 개최하였다.,X,문재인 정부 통일
77회,심화,1,1,1.5,청동기 시대,철제 무기로 정복 활동을 벌였다.,X,철기 시대
77회,심화,1,1,1.5,청동기 시대,소를 이용한 깊이갈이가 일반화되었다.,X,신라 지증왕
77회,심화,1,1,1.5,청동기 시대,많은 인력을 동원하여 고인돌을 축조하였다.,O,청동기 시대
77회,심화,1,1,1.5,청동기 시대,주먹도끼·찍개 등의 뗀석기를 처음 제작하였다.,X,구석기 시대
77회,심화,1,1,1.5,청동기 시대,가락바퀴와 뼈바늘을 이용하여 옷을 만들기 시작하였다.,X,신석기 시대
77회,심화,2,2,3,고조선,민며느리제라는 혼인 풍습이 있었다.,X,옥저
77회,심화,2,2,3,고조선,국가 중대사를 정사암에서 논의하였다.,X,백제
77회,심화,2,2,3,고조선,여러 가(加)들이 별도로 사출도를 주관하였다.,X,삼한/부여
77회,심화,2,2,3,고조선,지방의 여러 성에 욕살·처려근지 등을 두었다.,X,고구려
77회,심화,2,2,3,고조선,사회 질서를 유지하기 위해 범금 8조를 만들었다.,O,고조선
77회,심화,3,2,3,동예,진대법의 시행 목적을 파악한다.,X,고구려 고국천왕
77회,심화,3,2,3,동예,책화의 사회적 의미를 조사한다.,O,동예
77회,심화,3,2,3,동예,신성 구역인 소도의 기능을 알아본다.,X,삼한/부여
77회,심화,3,2,3,동예,화백 회의의 의사 결정 방식을 살펴본다.,X,신라
77회,심화,3,2,3,동예,포상 8국 전쟁이 전개되는 과정을 찾아본다.,X,가야
77회,심화,5,2,3,백제 무령왕,금마저에 미륵사를 창건하였다.,X,백제 무왕
77회,심화,5,2,3,백제 무령왕,고흥에게 서기를 편찬하게 하였다.,X,백제 근초고왕
77회,심화,5,2,3,백제 무령왕,지방의 22담로에 왕족을 파견하였다.,O,백제 무령왕
77회,심화,5,2,3,백제 무령왕,동진에서 온 마라난타를 통해 불교를 수용하였다.,X,백제 침류왕
77회,심화,5,2,3,백제 무령왕,장군 달기를 보내 고구려의 도살성을 점령하였다.,X,백제 성왕
77회,심화,6,3,4.5,삼국 통일 과정,을지문덕이 살수에서 대승을 거두었다.,X,살수대첩
77회,심화,6,3,4.5,삼국 통일 과정,복신과 도침이 부여풍을 왕으로 추대하였다.,O,삼국 통일 과정
77회,심화,6,3,4.5,삼국 통일 과정,윤충이 군사를 이끌고 대야성을 함락시켰다.,X,백제
77회,심화,6,3,4.5,삼국 통일 과정,연개소문이 정변을 일으켜 영류왕을 시해하였다.,X,고구려
77회,심화,6,3,4.5,삼국 통일 과정,김춘추가 당으로 건너가 군사 연합을 성사시켰다.,X,삼국 통일 과정
77회,심화,7,1,1.5,발해,12월에 영고라는 제천 행사를 열었다.,X,삼한/부여
77회,심화,7,1,1.5,발해,주자감을 설치하여 인재를 양성하였다.,O,발해
77회,심화,7,1,1.5,발해,군사 조직으로 9서당 10정을 편성하였다.,X,통일신라
77회,심화,7,1,1.5,발해,기인 제도를 실시하여 지방 세력을 견제하였다.,X,고려 태조
77회,심화,7,1,1.5,발해,왕족인 부여씨와 8성 귀족이 지배층을 이루었다.,X,백제
77회,심화,8,2,3,고구려,수도에 서시와 남시를 설치하였다.,X,통일신라
77회,심화,8,2,3,고구려,활구라고 불리는 은병을 주조하였다.,X,고려
77회,심화,8,2,3,고구려,집집마다 부경이라는 창고가 있었다.,O,고구려
77회,심화,8,2,3,고구려,관료전을 지급하고 녹읍을 폐지하였다.,X,신라 신문왕
77회,심화,8,2,3,고구려,풍흉에 따라 9등급으로 전세를 거두었다.,X,조선 세종
77회,심화,9,2,3,궁예,안승을 보덕왕으로 봉하였다.,X,신라 문무왕
77회,심화,9,2,3,궁예,광평성 등의 정치 기구를 마련하였다.,O,궁예
77회,심화,9,2,3,궁예,외교 담판으로 강동 6주를 확보하였다.,X,서희
77회,심화,9,2,3,궁예,김부를 경주의 사심관으로 임명하였다.,X,고려 태조
77회,심화,9,2,3,궁예,신라를 공격하여 경애왕을 죽게 하였다.,X,후백제 견훤
77회,심화,10,2,3,신라 하대,계백료서를 읽고 있는 관리,X,고려 태조
77회,심화,10,2,3,신라 하대,담배를 밭에 심고 있는 농민,X,조선 후기
77회,심화,10,2,3,신라 하대,조위총의 난을 진압하는 군인,X,고려 후기
77회,심화,10,2,3,신라 하대,진전사에서 참선하는 선종 승려,O,신라 하대
77회,심화,10,2,3,신라 하대,낙랑군과 교역할 덩이쇠를 주조하는 장인,X,가야
77회,심화,11,2,3,초조대장경,별무반을 편성하였다.,X,여진 대응
77회,심화,11,2,3,초조대장경,화통도감을 설치하였다.,X,화통도감
77회,심화,11,2,3,초조대장경,진관 체제를 실시하였다.,X,진관 체제
77회,심화,11,2,3,초조대장경,초조대장경을 조판하였다.,O,초조대장경
77회,심화,11,2,3,초조대장경,동녕부의 반환을 요청하였다.,X,고려 충렬왕
77회,심화,12,3,4.5,고려 충렬왕,응방의 설치와 매 서식지의 변화,O,고려 충렬왕
77회,심화,12,3,4.5,고려 충렬왕,시화호의 조성과 갯벌 생태계 파괴,X,김영삼 정부
77회,심화,12,3,4.5,고려 충렬왕,수의 침략과 요하 일대 감염병의 유행,X,살수대첩
77회,심화,12,3,4.5,고려 충렬왕,가죽 제품 수요 증가와 독도 강치의 멸종,X,일제강점기 사회상
77회,심화,12,3,4.5,고려 충렬왕,을축년 대홍수의 피해와 경성부의 대응 양상,X,일제강점기 사회상
77회,심화,14,2,3,고려 광종,신해통공의 단행 배경,X,조선 정조
77회,심화,14,2,3,고려 광종,명의 멸망과 소중화주의의 대두,X,송시열
77회,심화,14,2,3,고려 광종,골품제가 일상생활에 끼친 영향,X,신라
77회,심화,14,2,3,고려 광종,울산항을 통한 아라비아 상인들과의 교류,X,통일신라
77회,심화,14,2,3,고려 광종,황제국 표방 사례를 통해 본 외왕내제 의식,O,고려 광종
77회,심화,15,3,4.5,안향,제왕운기를 읽고 있는 왕,O,고려 충렬왕
77회,심화,15,3,4.5,안향,만동묘 복구를 건의하는 유생,X,흥선대원군
77회,심화,15,3,4.5,안향,동몽선습을 공부하는 서당 학동,X,조선 후기 사회
77회,심화,15,3,4.5,안향,독서삼품과 시행을 준비하는 관리,X,통일신라 원성왕
77회,심화,15,3,4.5,안향,주자소에서 계미자를 주조하는 장인,X,조선 태종
77회,심화,16,2,3,최충헌,비담과 염종의 반란을 진압하였다.,X,신라 선덕여왕
77회,심화,16,2,3,최충헌,만권당에서 원의 학자들과 교유하였다.,X,고려 충선왕
77회,심화,16,2,3,최충헌,인사 행정을 담당하던 정방을 폐지하였다.,X,고려 공민왕
77회,심화,16,2,3,최충헌,봉사 10조를 올려 시정 개혁을 건의하였다.,O,최충헌
77회,심화,16,2,3,최충헌,오월(吳越)에 사신을 보내고 검교태보의 직을 받았다.,X,후백제 견훤
77회,심화,17,2,3,김부식,(가) - 관군을 이끌고 묘청의 난을 진압하였다.,O,김부식
77회,심화,17,2,3,김부식,(가) - 시무 28조를 올려 국가 운영 방안을 제시하였다.,X,최승로
77회,심화,17,2,3,김부식,(나) - 법화 신앙을 바탕으로 백련 결사를 이끌었다.,X,요세
77회,심화,17,2,3,김부식,(나) - 화폐 발행을 위해 주전도감 설치를 건의하였다.,X,고려 의천
77회,심화,17,2,3,김부식,(가) (나) - 심성 도야를 강조하고 유불 일치설을 주장하였다.,X,혜심
77회,심화,19,1,1.5,사간원,사헌부 홍문관과 함께 3사로 불렸다.,O,사간원
77회,심화,19,1,1.5,사간원,국왕 직속 사법 기구로 반역죄 등을 다루었다.,X,조선 의금부
77회,심화,19,1,1.5,사간원,사초와 시정기를 바탕으로 실록을 편찬하였다.,X,춘추관
77회,심화,19,1,1.5,사간원,왕의 비서 기관으로 왕명의 출납을 관장하였다.,X,승정원
77회,심화,19,1,1.5,사간원,사대교린에 관한 문서를 관장하기 위해 설치되었다.,X,승문원
77회,심화,20,3,4.5,조선 세조,조의제문을 빌미로 무오사화가 일어났다.,X,무오사화
77회,심화,20,3,4.5,조선 세조,세계 지도인 혼일강리역대국도지도가 제작되었다.,X,조선 태종
77회,심화,20,3,4.5,조선 세조,예악 질서의 확립을 위한 악학궤범이 완성되었다.,X,조선 성종
77회,심화,20,3,4.5,조선 세조,역대 문물 제도를 정리한 동국문헌비고가 편찬되었다.,X,조선 영조
77회,심화,20,3,4.5,조선 세조,현직 관리에게만 수조권을 지급하는 직전법이 시행되었다.,O,조선 세조
77회,심화,21,2,3,류성룡,기대승과 사단칠정 논쟁을 전개하였다.,X,이황
77회,심화,21,2,3,류성룡,소학의 보급과 현량과 실시를 주장하였다.,X,조광조
77회,심화,21,2,3,류성룡,기축봉사를 올려 명에 대한 의리를 내세웠다.,X,송시열
77회,심화,21,2,3,류성룡,임진왜란의 상황 등을 담은 징비록을 저술하였다.,O,류성룡
77회,심화,21,2,3,류성룡,최초로 100리 척을 사용하여 동국지도를 제작하였다.,X,정상기
77회,심화,22,2,3,병자호란,강홍립 부대가 사르후 전투에 참전하였다.,X,광해군
77회,심화,22,2,3,병자호란,김종서가 두만강 일대에 6진을 개척하였다.,X,4군 6진
77회,심화,22,2,3,병자호란,김시민이 진주성 전투에서 크게 승리하였다.,X,임진왜란
77회,심화,22,2,3,병자호란,이종무가 왜구의 근거지인 쓰시마섬을 정벌하였다.,X,조선 세종
77회,심화,22,2,3,병자호란,이완이 어영대장으로 임명되어 북벌을 준비하였다.,O,조선 효종
77회,심화,23,2,3,조선 후기 사회,계해약조의 초안을 작성하는 관리,O,조선 세종
77회,심화,23,2,3,조선 후기 사회,까치를 소재로 민화를 그리는 화원,X,조선 후기 사회
77회,심화,23,2,3,조선 후기 사회,세책가에서 춘향전을 빌리는 부녀자,X,조선 후기 사회
77회,심화,23,2,3,조선 후기 사회,시사(詩社)를 조직하여 활동하는 서리,X,조선 후기 사회
77회,심화,23,2,3,조선 후기 사회,송파장에서 산대놀이를 공연하는 광대,X,조선 후기 사회
77회,심화,24,3,4.5,조선 숙종,문신을 재교육하기 위한 초계문신제를 실시하였다.,X,조선 정조
77회,심화,24,3,4.5,조선 숙종,각 궁방과 중앙 관서의 공노비 6만여 명을 해방하였다.,X,조선 순조
77회,심화,24,3,4.5,조선 숙종,국왕의 호위와 수도 방어를 위해 금위영을 창설하였다.,O,조선 숙종
77회,심화,24,3,4.5,조선 숙종,각지의 농법을 작물별로 정리한 농사직설을 편찬하였다.,X,조선 세종
77회,심화,24,3,4.5,조선 숙종,붕당 정치의 폐해를 경계하기 위해 탕평비를 건립하였다.,X,조선 영조
77회,심화,25,1,1.5,조선 후기 경제,관리에게 전지와 시지가 지급되었다.,X,전시과
77회,심화,25,1,1.5,조선 후기 경제,솔빈부의 말이 특산품으로 수출되었다.,X,발해
77회,심화,25,1,1.5,조선 후기 경제,관청에 물품을 조달하는 공인이 활동하였다.,O,조선 후기 경제
77회,심화,25,1,1.5,조선 후기 경제,당항성 영암이 국제 무역항으로 번성하였다.,X,통일신라
77회,심화,25,1,1.5,조선 후기 경제,삼한통보 해동통보 등의 화폐가 발행되었다.,X,고려 화폐
77회,심화,26,2,3,박제가,양명학을 연구하여 강화학파를 형성하였다.,X,조선 후기 사회
77회,심화,26,2,3,박제가,기기도설을 참고하여 거중기를 설계하였다.,X,정약용
77회,심화,26,2,3,박제가,역대 명필을 연구하여 추사체를 창안하였다.,X,김정희
77회,심화,26,2,3,박제가,규장각 검서관으로 무예도보통지 편찬에 참여하였다.,O,박제가
77회,심화,26,2,3,박제가,지부복궐척화의소를 올려 왜양일체론을 주장하였다.,X,최익현
77회,심화,27,1,1.5,충주 지역 역사,이괄이 반란을 일으킨 근거지를 알아본다.,X,이괄의 난
77회,심화,27,1,1.5,충주 지역 역사,김정희가 세한도를 그린 유배지를 검색한다.,X,김정희
77회,심화,27,1,1.5,충주 지역 역사,정약전이 자산어보를 저술한 곳을 조사한다.,X,조선 후기 사회
77회,심화,27,1,1.5,충주 지역 역사,강주룡이 고공 농성을 벌인 을밀대의 위치를 찾아본다.,X,1920년대 사회운동
77회,심화,27,1,1.5,충주 지역 역사,김윤후가 노비 등을 이끌고 몽골군을 격퇴한 장소를 파악한다.,O,몽골 침입
77회,심화,28,2,3,임술농민봉기,홍경래 등이 봉기하여 정주성을 점령하였다.,X,홍경래의 난
77회,심화,28,2,3,임술농민봉기,신돈이 중심이 되어 전민변정 사업을 운영하였다.,X,고려 공민왕
77회,심화,28,2,3,임술농민봉기,삼정의 문란을 시정하고자 삼정이정청이 설치되었다.,O,임술농민봉기
77회,심화,28,2,3,임술농민봉기,기금의 이자로 빈민을 구휼하는 제위보가 만들어졌다.,X,고려 광종
77회,심화,28,2,3,임술농민봉기,황사영이 외국 군대의 출병을 요청하는 백서를 작성하였다.,X,신유박해
77회,심화,29,2,3,병인양요,운요호가 강화도와 영종도를 공격하였다.,X,강화도 조약
77회,심화,29,2,3,병인양요,오페르트가 남연군 묘 도굴을 시도하였다.,X,오페르트 사건
77회,심화,29,2,3,병인양요,교조 신원을 요구하는 보은 집회가 열렸다.,X,동학 농민 운동
77회,심화,29,2,3,병인양요,병인박해로 천주교 신부와 신자들이 처형되었다.,O,병인박해
77회,심화,29,2,3,병인양요,김홍집이 가지고 온 조선책략이 조선에 유포되었다.,X,조선책략
77회,심화,30,3,4.5,을미개혁,박문국을 두어 한성순보를 발행하였다.,X,박문국
77회,심화,30,3,4.5,을미개혁,근대식 무기 제조 시설인 기기창을 설립하였다.,X,기기창
77회,심화,30,3,4.5,을미개혁,군제를 개편하여 친위대와 진위대를 설치하였다.,O,을미개혁
77회,심화,30,3,4.5,을미개혁,공사 노비법을 혁파하고 과부의 재가를 허용하였다.,X,갑오개혁
77회,심화,30,3,4.5,을미개혁,비변사를 혁파하여 의정부와 삼군부의 기능을 회복하였다.,X,흥선대원군
77회,심화,31,2,3,임오군란,김옥균 등 개화파가 주도하였다.,X,갑신정변
77회,심화,31,2,3,임오군란,제물포 조약이 체결되는 계기가 되었다.,O,임오군란
77회,심화,31,2,3,임오군란,전개 과정에서 홍범 14조가 반포되었다.,X,갑오개혁
77회,심화,31,2,3,임오군란,통리기무아문이 설치되는 배경이 되었다.,X,통리기무아문
77회,심화,31,2,3,임오군란,외규장각 도서가 약탈되는 결과를 가져왔다.,X,병인양요
77회,심화,32,2,3,대조선 국민 군단,한인 자치 기구인 경학사를 조직하였다.,X,신민회
77회,심화,32,2,3,대조선 국민 군단,한인 교육을 위해 박달 학원을 설립하였다.,X,신민회
77회,심화,32,2,3,대조선 국민 군단,무장 투쟁을 위해 대조선 국민 군단을 결성하였다.,O,대조선 국민 군단
77회,심화,32,2,3,대조선 국민 군단,유학생을 중심으로 2·8 독립 선언서를 발표하였다.,X,2·8 독립 선언
77회,심화,32,2,3,대조선 국민 군단,대한 광복군 정부를 중심으로 무장 독립 투쟁을 준비하였다.,X,대한 광복군 정부
77회,심화,33,1,1.5,을사늑약,청의 알선으로 체결이 추진되었다.,X,조미수호통상조약
77회,심화,33,1,1.5,을사늑약,통감부가 설치되는 결과를 가져왔다.,O,을사늑약
77회,심화,33,1,1.5,을사늑약,천주교 포교를 허용하는 근거가 되었다.,X,조프 수호 통상 조약
77회,심화,33,1,1.5,을사늑약,스티븐스가 외교 고문으로 부임하는 계기가 되었다.,X,화폐 정리 사업
77회,심화,33,1,1.5,을사늑약,대한 제국 군대의 해산을 규정하는 내용이 포함되어 있다.,X,정미7조약
77회,심화,34,2,3,신민회,만세보를 발행하였다.,X,만세보
77회,심화,34,2,3,신민회,대성 학교를 설립하였다.,O,신민회
77회,심화,34,2,3,신민회,만민 공동회를 개최하였다.,X,독립협회
77회,심화,34,2,3,신민회,부민관 폭파 의거를 계획하였다.,X,민족말살통치기
77회,심화,34,2,3,신민회,일제의 황무지 개간권 요구를 저지하였다.,X,보안회
77회,심화,35,3,4.5,육영공원,7재라는 전문 강좌가 있었다.,X,고려 예종
